Concentration (ppm),panelist A,panelist B,panelist C,panelist D,panelist E,panelist F,panelist G,panelist H,panelist I,panelist J,panelist K,panelist L,panelist M,panelist N,panelist O,panelist P,panelist R,panelist S,panelist T,panelist U
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
