SMILES,Odor,All_Matched_Categories,Major_Category,Contribution
CCCOC(=O)CC,pineapple,Fruity,Fruity,Pos
CCCO,"alcohol, pungent",Spicy|Off-flavor,Spicy,Neg
CCCCOC(=O)C1=CC=CC=C1,balsamic,Woody/Resinous,Woody/Resinous,Neg
CCCCOC(=O)C,pear,Fruity,Fruity,Pos
CCCCO,"medicine, fruit",Fruity,Fruity,Pos
CCCCN=C=S,"sulfur, pungent, green",Green/Herbal|Spicy|Sulfur/Allium,Green/Herbal,Neg
CCCCCOC(=O)CCC,banana,Fruity,Fruity,Pos
CCCCCO,fruit,Fruity,Fruity,Pos
CCCCCCS,sulfur,Sulfur/Allium,Sulfur/Allium,Neg
CCCCCCOC(=O)CCCCC,"apple peel, peach",Fruity,Fruity,Pos
CCCCCCOC(=O)CCC,apple peel,Fruity,Fruity,Pos
CCCCCCOC(=O)C,"fruit, herb",Fruity|Green/Herbal,Fruity,Pos
CCCCCCO,"resin, flower, green",Floral|Green/Herbal|Woody/Resinous,Floral,Pos
CCCCCCCOC(=O)C(C)CC,apple,Fruity,Fruity,Pos
CCCCCCCO,herb,Green/Herbal,Green/Herbal,Neg
CCCCCCCCOC(=O)C,fruit,Fruity,Fruity,Pos
CCCCCCCCO,"moss, nut, mushroom",Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty,Pos
CCCCCCCCCOC(=O)C,"sweet, fruit",Fruity|Sweet/Vanilla/Caramel,Fruity,Pos
CCCCCCCCCO,"fat, green",Green/Herbal|Fatty/Lipidic,Green/Herbal,Neg
CCCCCCCCCCO,fat,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCO,mandarin,Citrus,Citrus,Pos
CCCCCCCCCCCCO,"fat, wax",Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCO,must,,NA,NA
CCCCCCCCCCCCCCO,coconut,Fruity,Fruity,Pos
CCCCCCCCCCCCCCCCO,"flower, wax",Floral|Fatty/Lipidic,Floral,Pos
CCCCCCCCCCCCCCCCCCO,oil,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCCCC=O,oil,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCC=O,cardboard,,NA,NA
CCCCCCCCCCCCCCCC(=O)OCC,wax,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCC(=O)OC(C)C,fat,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCC=O,fresh,Green/Herbal,Green/Herbal,Neg
CCCCCCCCCCCCCCC/C=C/C(=O)OC,fat,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCCC=O,"flower, wax",Floral|Fatty/Lipidic,Floral,Pos
CCCCCCCCCCCCCC(=O)OCC,ether,Off-flavor,Off-flavor,Neg
CCCCCCCCCCCCCC(=O)OC,orris,,NA,NA
CCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCCC=O,"flower, sweet, must",Floral|Sweet/Vanilla/Caramel,Floral,Pos
CCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCC=O,"lily, fat, citrus",Citrus|Floral|Fatty/Lipidic,Citrus,Pos
CCCCCCCCCCCC(=O)OCCCC,oil,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCCC(=O)OCC,leaf,Green/Herbal,Green/Herbal,Neg
CCCCCCCCCCCC(=O)OC,"fat, coconut",Fruity|Fatty/Lipidic,Fruity,Pos
CCCCCCCCCCCC(=O)O,metal,Off-flavor,Off-flavor,Neg
CCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCC=O,"oil, pungent, sweet",Spicy|Sweet/Vanilla/Caramel|Fatty/Lipidic,Spicy,Neg
CCCCCCCCCCC(=O)OCC,"cognac, coconut",Fruity,Fruity,Pos
CCCCCCCCCCC(=O)O,oil,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCC=O,"soap, orange peel, tallow",Citrus|Fatty/Lipidic,Fatty/Lipidic,Neg
CCCCCCCCCC(=O)OCCCC,whiskey,,NA,NA
CCCCCCCCCC(=O)OCC,grape,Fruity,Fruity,Pos
CCCCCCCCCC(=O)OC,wine,Off-flavor,Off-flavor,Neg
