Model,Train F1,Test F1,Train Acc,Test Acc,Train Prec,Test Prec,Train Rec,Test Rec
RandomForest,0.9912660277681914,0.9780324737344794,0.985329528226166,0.9630818619582665,0.9915555791598066,0.9777211966900063,0.9909766454352441,0.978343949044586
GBDT,0.9803161110373223,0.9733630478616152,0.9669579951841613,0.9552345282682362,0.9812283967030045,0.9730532569488648,0.9794055201698514,0.9736730360934183
MLP,0.9798435539418533,0.9719167111585691,0.96633371978953,0.9530943463527733,0.9857119836708385,0.9776584317937701,0.9740445859872612,0.9662420382165605
